Current Year,CGPA,1st yr 1st sem GPA,IP,ICS,MC,CS,1st yr 2nd sem GPA,OOC,SPM,PS1,EAP,ISDM,IWT,2nd yr 1st sem GPA,SE,OOP,DBMS,OSSA,2nd yr 2nd sem GPA,MAD,CN,DSA,ITP,PS2,ESD1,3rd yr 1st sem GPA,NDM,DS,PAF,ITPM,ESD2,3rd yr 2nd sem GPA,HCI,IAS,DA,BMIT
4,2.160,1.9,C,C,C,C+,2.24,C+,C,C,C,C+,B-,2.15,C+,C,C,C+,2.19,B-,C,C,C,C+,A-,2.08,C,C,C,C+,A+,2.21,B-,R,C,B-
4,1.920,1.97,C+,D+,C+,D+,1.78,C,C,C,D,C,C,1.83,B+,C,C,D+,1.78,C,D,D,B,C,A-,2.35,B-,C,C-,B,B+,2.13,C,R,C,B
4,1.990,1.81,C+,C,D,B+,2.14,B-,C,PC,B-,C+,C,1.15,C,E,C,D+,2.44,C,C,C,A,C,B+,2,F,IC,C,C+,C+,2.34,C+,C-,C,A-
4,2.510,2.14,C,C+,C,C+,2.49,C+,B+,C+,C,B-,C+,2.42,B,B-,C,C,2.44,C,C,B-,B+,C,A-,2.65,C+,C,B,B+,C,2.93,A-,B,C,B+
4,2.580,1.94,C+,C,C,C,2.49,B-,B,C+,C,B,C,2.75,A-,C,C,B+,2.4,C,C,C,B+,B,A,2.77,C+,C+,IC,A-,A-,3.13,B+,B,B-,A-
4,2.550,2,C,C,C,C,1.94,C,B-,C,C,B-,C,2.6,A-,C,C,B-,2.49,C,C,C,A-,B,A,2.77,B-,C+,IC,B+,A,3.36,B+,B+,B,A
4,2.560,1.81,C,C,D+,C,2.39,B+,B,PC,C,B-,C+,2.5,B+,B-,C,C,2.84,A,C,C,B+,B,A-,2.65,B+,C+,C+,B-,A,3.21,A-,B+,B-,B+
4,1.610,0.81,E,D+,E,C,2.16,C,C-,D,B-,C,B,1.5,C,C,C,E,1.56,C,E,E,A,C,A-,1.63,D+,IC,D+,C+,D+,2.05,R,C-,B-,C
4,1.630,1.55,D+,C,D+,C,1.43,C,C,C,C,C,C,1.73,C+,D+,C,C,2.01,C,E,D+,B+,C+,A,2.4,D+,D+,B,A,A+,2.73,B+,C+,C,A-
4,2.300,2.08,C,C+,C,C,1.89,C,C+,C,C,C,C,2.25,B,C,C,C,2.01,C,C,C,A-,B-,B+,2.23,B,C+,D+,C+,C+,2.84,B+,R,B,A-
4,2.110,1.55,E,C,C,C,2.07,B-,C,C,C,C,C,2.25,B,C,C,C,2.34,C,C,B,B-,C+,A-,AB,AB,C-,C+,B,A-,1.8,R,C-,F,B-
4,2.580,2.35,C,B+,C,C,2.61,C+,B,C,C,B,B,2.08,B-,C,C+,C,2.78,B,C,C,A,B,A,2.65,C+,C,B,B+,C,2.8,B,B,C+,B
4,2.310,2.53,B,C,B,C,2.29,B+,C+,C,C+,C+,C,2.17,B-,C,C,C,2.09,C,C,D+,B-,C,A,2.47,C,C+,C+,B+,B+,2.36,B,R,D+,A
4,3.440,3.41,A,A,B+,C,3.11,A,A-,B,C+,C+,A-,3.67,A,A,B,A-,3.57,IC,B,A,A,B,A,3.25,B+,B-,B,A,C,3.76,A-,A-,A-,A
4,2.640,2.61,B,C+,C,B+,2.82,A-,B,C,C,B,B+,2.65,B+,C,C,B+,2.42,C,C,B-,B,B,B+,2.25,C+,C-,C+,B-,E,3.08,A-,B-,C+,A
4,2.640,2.59,A-,C,C,B-,2.41,B+,C+,PC,C,B,C+,2.72,B+,C+,C,B+,2.43,C+,C+,B-,C+,B-,A,2.2,C,C+,IC,C+,A-,3.56,A-,A-,B,A
4,2.510,2.5,C,C+,B-,B-,2.61,B,C,D+,C+,B,B-,2.67,B,C,C,B,2.37,C,C,C+,B,B-,C+,3,IC,IC,C,A,E,2.95,A,B+,C,B-
4,2.540,2.33,C,B-,C+,C+,2.28,A-,C,PC,C,C,B,2.47,B+,C,C+,C+,2.27,C,C,C,B-,B,A,2.92,B+,B,B-,B-,A-,3.1,A-,C+,B+,B+
4,2.210,2.06,C,C,C,C+,2.03,B-,C,C,D,C,C+,2.1,B,C,C,C+,2.42,C+,C,C+,B+,C,A,2.3,C+,IC,IC,IC,B-,2.76,B,R,B-,A
4,2.320,2.26,C,C,C,B+,2.27,B,C,PC,C,C+,B-,2.25,B-,C,C,C+,2.18,B-,E,C+,C,B,A,2.35,B-,C,C-,B,A-,2.69,B+,B-,C,B
4,1.740,2.35,B+,C,C,C,1.05,C,C,E,C,C,C,1.5,C,C,C,E,2,C,C,E,B,C,C+,1,D,D+,F,R,A,1.94,B-,D+,D,B+
4,2.210,2,B-,C,PC,C,2.04,B-,C,D,B+,C-,C+,3.3,B+,B+,C-,D+,2.14,A-,C-,D+,C+,B-,A-,2.33,C+,IC,C-,B,A+,2.04,B-,R,C-,C+
